"","ID","complete_days","SABLE","STRAIN","SEX","DIET_FORMULA","FI_total","GROUP","DRUG"
"1","3706",2,"BW loss","NZO/HlLtJ","F","D12450Ki",7.94858909697018,"ad lib","vehicle"
"2","3706",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",8.22681799336308,"ad lib","vehicle"
"3","3706",2,"BW regain","NZO/HlLtJ","F","D12450Ki",4.58618237206264,"ad lib","vehicle"
"4","3706",2,"baseline","NZO/HlLtJ","F","D12450Ki",5.8856634318854,"ad lib","vehicle"
"5","3706",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",4.42118234459633,"ad lib","vehicle"
"6","3707",2,"BW loss","NZO/HlLtJ","F","D12450Ki",7.811769760917,"ad lib","vehicle"
"7","3707",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",11.2706003061452,"ad lib","vehicle"
"8","3707",2,"BW regain","NZO/HlLtJ","F","D12450Ki",7.00949257100461,"ad lib","vehicle"
"9","3707",2,"baseline","NZO/HlLtJ","F","D12450Ki",3.7544750171096,"ad lib","vehicle"
"10","3707",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",7.65987563466021,"ad lib","vehicle"
"11","3708",2,"BW loss","NZO/HlLtJ","F","D12450Ki",0.331401167832794,"restricted","RTIOXA_47"
"12","3708",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",0.0964706457711628,"restricted","RTIOXA_47"
"13","3708",2,"BW regain","NZO/HlLtJ","F","D12450Ki",5.68427079292903,"restricted","RTIOXA_47"
"14","3708",2,"baseline","NZO/HlLtJ","F","D12450Ki",6.78244377618347,"restricted","RTIOXA_47"
"15","3708",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",3.55530312779055,"restricted","RTIOXA_47"
"16","3710",2,"BW loss","NZO/HlLtJ","F","D12450Ki",0.639647318759781,"restricted","RTIOXA_47"
"17","3710",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",0.160271432455221,"restricted","RTIOXA_47"
"18","3710",2,"BW regain","NZO/HlLtJ","F","D12450Ki",5.58846038363998,"restricted","RTIOXA_47"
"19","3710",2,"baseline","NZO/HlLtJ","F","D12450Ki",5.60397241643875,"restricted","RTIOXA_47"
"20","3710",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",4.05934414469408,"restricted","RTIOXA_47"
"21","3711",2,"BW loss","NZO/HlLtJ","F","D12450Ki",4.45391374281331,"ad lib","vehicle"
"22","3711",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",8.82447478532308,"ad lib","vehicle"
"23","3711",2,"BW regain","NZO/HlLtJ","F","D12450Ki",6.26256862202104,"ad lib","vehicle"
"24","3711",2,"baseline","NZO/HlLtJ","F","D12450Ki",5.72390369037663,"ad lib","vehicle"
"25","3711",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",4.03415047176867,"ad lib","vehicle"
"26","3713",2,"BW loss","NZO/HlLtJ","F","D12450Ki",7.50188692983784,"ad lib","vehicle"
"27","3713",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",10.5422756272581,"ad lib","vehicle"
"28","3713",2,"BW regain","NZO/HlLtJ","F","D12450Ki",3.27223346322347,"ad lib","vehicle"
"29","3713",2,"baseline","NZO/HlLtJ","F","D12450Ki",7.94243326184534,"ad lib","vehicle"
"30","3713",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",8.31848297862462,"ad lib","vehicle"
"31","3714",2,"BW loss","NZO/HlLtJ","F","D12450Ki",0.0759622815628731,"restricted","vehicle"
"32","3714",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",0.378375963627016,"restricted","vehicle"
"33","3714",2,"BW regain","NZO/HlLtJ","F","D12450Ki",6.22551513112626,"restricted","vehicle"
"34","3714",2,"baseline","NZO/HlLtJ","F","D12450Ki",5.8336314818738,"restricted","vehicle"
"35","3714",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",4.9359758428028,"restricted","vehicle"
"36","3716",2,"BW loss","NZO/HlLtJ","F","D12450Ki",4.9904819808647,"ad lib","RTIOXA_47"
"37","3716",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",12.4784834204702,"ad lib","RTIOXA_47"
"38","3716",2,"BW regain","NZO/HlLtJ","F","D12450Ki",4.80661540678602,"ad lib","RTIOXA_47"
"39","3716",2,"baseline","NZO/HlLtJ","F","D12450Ki",5.98085334795979,"ad lib","RTIOXA_47"
"40","3716",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",4.85551251343679,"ad lib","RTIOXA_47"
"41","3719",2,"BW loss","NZO/HlLtJ","F","D12450Ki",4.18940756759866,"ad lib","RTIOXA_47"
"42","3719",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",19.6198685703059,"ad lib","RTIOXA_47"
"43","3719",2,"BW regain","NZO/HlLtJ","F","D12450Ki",3.34735973057718,"ad lib","RTIOXA_47"
"44","3719",2,"baseline","NZO/HlLtJ","F","D12450Ki",6.41034198065336,"ad lib","RTIOXA_47"
"45","3719",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",3.67889379433458,"ad lib","RTIOXA_47"
"46","3720",2,"BW loss","NZO/HlLtJ","F","D12450Ki",0.811841468034287,"restricted","vehicle"
"47","3720",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",0.494059788350817,"restricted","vehicle"
"48","3720",2,"BW regain","NZO/HlLtJ","F","D12450Ki",24.9647718156136,"restricted","vehicle"
"49","3720",2,"baseline","NZO/HlLtJ","F","D12450Ki",4.89148580028154,"restricted","vehicle"
"50","3720",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",5.17509536971107,"restricted","vehicle"
"51","3721",2,"BW loss","NZO/HlLtJ","F","D12450Ki",0.255949871722422,"restricted","RTIOXA_47"
"52","3721",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",0.142258742542701,"restricted","RTIOXA_47"
"53","3721",2,"BW regain","NZO/HlLtJ","F","D12450Ki",9.51424759206202,"restricted","RTIOXA_47"
"54","3721",2,"baseline","NZO/HlLtJ","F","D12450Ki",4.57809697403155,"restricted","RTIOXA_47"
"55","3721",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",3.68747527184283,"restricted","RTIOXA_47"
"56","3722",2,"BW loss","NZO/HlLtJ","F","D12450Ki",0.625940061797317,"restricted","RTIOXA_47"
"57","3722",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",0.117681486196654,"restricted","RTIOXA_47"
"58","3722",2,"BW regain","NZO/HlLtJ","F","D12450Ki",13.028993293413,"restricted","RTIOXA_47"
"59","3722",2,"baseline","NZO/HlLtJ","F","D12450Ki",5.42847050577399,"restricted","RTIOXA_47"
"60","3722",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",2.34761961453813,"restricted","RTIOXA_47"
"61","3726",2,"BW loss","NZO/HlLtJ","F","D12450Ki",7.5721243412938,"ad lib","RTIOXA_47"
"62","3726",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",11.5527480055279,"ad lib","RTIOXA_47"
"63","3726",2,"BW regain","NZO/HlLtJ","F","D12450Ki",3.74484179705564,"ad lib","RTIOXA_47"
"64","3726",2,"baseline","NZO/HlLtJ","F","D12450Ki",4.51398146799761,"ad lib","RTIOXA_47"
"65","3726",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",4.32396974429335,"ad lib","RTIOXA_47"
"66","3727",2,"BW loss","NZO/HlLtJ","F","D12450Ki",0.104310564292744,"restricted","vehicle"
"67","3727",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",0.641287937931537,"restricted","vehicle"
"68","3727",2,"BW regain","NZO/HlLtJ","F","D12450Ki",3.9743358591744,"restricted","vehicle"
"69","3727",2,"baseline","NZO/HlLtJ","F","D12450Ki",4.90431989346479,"restricted","vehicle"
"70","3727",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",3.40160116080591,"restricted","vehicle"
"71","3728",2,"BW loss","NZO/HlLtJ","F","D12450Ki",0,"restricted","vehicle"
"72","3728",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",0.1293150939523,"restricted","vehicle"
"73","3728",2,"BW regain","NZO/HlLtJ","F","D12450Ki",5.49325558428583,"restricted","vehicle"
"74","3728",2,"baseline","NZO/HlLtJ","F","D12450Ki",5.00069035038496,"restricted","vehicle"
"75","3728",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",3.26178307342718,"restricted","vehicle"
"76","3729",2,"BW loss","NZO/HlLtJ","F","D12450Ki",0,"restricted","RTIOXA_47"
"77","3729",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",0.336183314741212,"restricted","RTIOXA_47"
"78","3729",2,"BW regain","NZO/HlLtJ","F","D12450Ki",5.54920841467239,"restricted","RTIOXA_47"
"79","3729",2,"baseline","NZO/HlLtJ","F","D12450Ki",6.26907144017304,"restricted","RTIOXA_47"
"80","3729",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",2.666892198906,"restricted","RTIOXA_47"
"81","7872",2,"BW loss","C57BL6/J","F","D12451i",180.260617482562,"restricted","vehicle"
"82","7872",2,"BW maintenance","C57BL6/J","F","D12451i",0.206668888339948,"restricted","vehicle"
"83","7872",2,"BW regain","C57BL6/J","F","D12451i",2.76288075582556,"restricted","vehicle"
"84","7872",2,"peak obesity","C57BL6/J","F","D12451i",1.72736068663997,"restricted","vehicle"
"85","7873",2,"BW loss","C57BL6/J","F","D12451i",5.53309126402218,"ad lib","RTIOXA_47"
"86","7873",2,"BW maintenance","C57BL6/J","F","D12451i",7.2127080297773,"ad lib","RTIOXA_47"
"87","7873",2,"BW regain","C57BL6/J","F","D12451i",2.54885723424971,"ad lib","RTIOXA_47"
"88","7873",2,"peak obesity","C57BL6/J","F","D12451i",3.29856048794969,"ad lib","RTIOXA_47"
"89","7874",2,"BW loss","C57BL6/J","F","D12451i",0.444923534145403,"restricted","RTIOXA_47"
"90","7874",2,"BW maintenance","C57BL6/J","F","D12451i",0.149891899085532,"restricted","RTIOXA_47"
"91","7874",2,"BW regain","C57BL6/J","F","D12451i",2.20549700668161,"restricted","RTIOXA_47"
"92","7874",2,"peak obesity","C57BL6/J","F","D12451i",2.85551181895542,"restricted","RTIOXA_47"
"93","7876",2,"BW loss","C57BL6/J","F","D12451i",4.4378319509095,"ad lib","vehicle"
"94","7876",2,"BW maintenance","C57BL6/J","F","D12451i",6.67947793278415,"ad lib","vehicle"
"95","7876",2,"BW regain","C57BL6/J","F","D12451i",2.12040425707991,"ad lib","vehicle"
"96","7876",2,"peak obesity","C57BL6/J","F","D12451i",2.22609345769604,"ad lib","vehicle"
"97","7877",2,"BW loss","C57BL6/J","F","D12451i",0.228294856724927,"restricted","RTIOXA_47"
"98","7877",2,"BW maintenance","C57BL6/J","F","D12451i",0.318088169066328,"restricted","RTIOXA_47"
"99","7877",2,"BW regain","C57BL6/J","F","D12451i",8.44570613015671,"restricted","RTIOXA_47"
"100","7877",2,"peak obesity","C57BL6/J","F","D12451i",3.18850629048603,"restricted","RTIOXA_47"
"101","7878",2,"BW loss","C57BL6/J","F","D12451i",0.458766691881948,"restricted","vehicle"
"102","7878",2,"BW maintenance","C57BL6/J","F","D12451i",0.233749280204336,"restricted","vehicle"
"103","7878",2,"BW regain","C57BL6/J","F","D12451i",4.97465463081986,"restricted","vehicle"
"104","7878",2,"peak obesity","C57BL6/J","F","D12451i",3.31790747782017,"restricted","vehicle"
"105","7879",2,"BW loss","C57BL6/J","F","D12451i",4.91514349629156,"ad lib","RTIOXA_47"
"106","7879",2,"BW maintenance","C57BL6/J","F","D12451i",1.416626607171,"ad lib","RTIOXA_47"
"107","7879",2,"BW regain","C57BL6/J","F","D12451i",4.59206917202872,"ad lib","RTIOXA_47"
"108","7879",2,"peak obesity","C57BL6/J","F","D12451i",2.7332628103446,"ad lib","RTIOXA_47"
"109","7875",2,"BW loss","C57BL6/J","F","D12451i",3.28985246659579,"ad lib","vehicle"
"110","7875",2,"BW maintenance","C57BL6/J","F","D12451i",6.46460877427478,"ad lib","vehicle"
"111","7875",2,"BW regain","C57BL6/J","F","D12451i",3.42912082471639,"ad lib","vehicle"
"112","7875",2,"peak obesity","C57BL6/J","F","D12451i",3.26741789834327,"ad lib","vehicle"
"113","7880",2,"BW loss","C57BL6/J","F","D12450Ki",4.77112417244214,"ad lib","vehicle"
"114","7880",2,"BW maintenance","C57BL6/J","F","D12450Ki",4.1606171563208,"ad lib","vehicle"
"115","7880",2,"BW regain","C57BL6/J","F","D12450Ki",4.56435602657874,"ad lib","vehicle"
"116","7880",2,"peak obesity","C57BL6/J","F","D12450Ki",2.88878114130179,"ad lib","vehicle"
"117","7881",2,"BW loss","C57BL6/J","F","D12450Ki",1.92750240248438,"ad lib","vehicle"
"118","7881",2,"BW maintenance","C57BL6/J","F","D12450Ki",6.12155669140787,"ad lib","vehicle"
"119","7881",2,"BW regain","C57BL6/J","F","D12450Ki",6.05577995125563,"ad lib","vehicle"
"120","7881",2,"peak obesity","C57BL6/J","F","D12450Ki",4.84646641252047,"ad lib","vehicle"
"121","7883",2,"BW loss","C57BL6/J","F","D12450Ki",2.14156098086715,"ad lib","vehicle"
"122","7883",2,"BW maintenance","C57BL6/J","F","D12450Ki",11.374218499067,"ad lib","vehicle"
"123","7883",2,"BW regain","C57BL6/J","F","D12450Ki",5.44660573526997,"ad lib","vehicle"
"124","7883",2,"peak obesity","C57BL6/J","F","D12450Ki",3.77290830859019,"ad lib","vehicle"
"125","7882",2,"BW loss","C57BL6/J","F","D12450Ki",3.04022059693304,"ad lib","vehicle"
"126","7882",2,"BW maintenance","C57BL6/J","F","D12450Ki",2.93879339278837,"ad lib","vehicle"
"127","7882",2,"BW regain","C57BL6/J","F","D12450Ki",4.82522642305261,"ad lib","vehicle"
"128","7882",2,"peak obesity","C57BL6/J","F","D12450Ki",3.18519354789896,"ad lib","vehicle"
